subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
shrey,2026-06-24T10:46:27.947Z,1,60,329.0,684.5,142.5,636.8922731831285,94.58047934385513,1187.0999999996275,True
shrey,2026-06-24T10:46:27.947Z,2,60,329.0,706.5,434.5,649.2535430549634,393.387106280519,1054.800000000745,True
shrey,2026-06-24T10:46:27.947Z,3,60,329.0,692.0,404.0,642.0452383772894,356.5490613846408,697.9000000003725,True
shrey,2026-06-24T10:46:27.947Z,4,60,329.0,685.0,410.5,649.4530250676778,362.40983007560345,705.0,True
shrey,2026-06-24T10:46:27.947Z,5,60,329.0,678.0,190.0,633.3342110957741,166.31248574440556,1005.4000000003725,True
shrey,2026-06-24T10:46:27.947Z,6,60,329.0,684.0,494.0,636.3572078466951,444.9506454219683,1137.699999999255,True
shrey,2026-06-24T10:46:27.947Z,7,60,329.0,684.0,567.5,639.8237228295695,534.1671205502868,740.7000000011176,True
shrey,2026-06-24T10:46:27.947Z,8,60,329.0,684.0,488.5,636.9689849670892,458.58428925011174,1089.300000000745,True
shrey,2026-06-24T10:46:27.947Z,9,60,329.0,681.0,272.0,644.4513398337017,220.5624236765272,740.5,True
shrey,2026-06-24T10:46:27.947Z,10,60,329.0,682.0,215.0,643.0820966285082,162.47695279654226,983.9000000003725,True
shreyandh,2026-06-24T10:59:42.484Z,1,60,331.0,690.0,282.0,647.4093196360853,245.82660529743498,921.0,True
shreyandh,2026-06-24T10:59:42.484Z,2,60,331.0,692.5,159.5,647.4259604189333,114.22063665785016,936.0,True
shreyandh,2026-06-24T10:59:42.484Z,3,60,331.0,680.5,287.0,638.8392730447636,244.4995958162709,873.0,True
shreyandh,2026-06-24T10:59:42.484Z,4,60,331.0,701.0,404.5,657.282847984349,355.39777438596667,1166.0,True
shreyandh,2026-06-24T10:59:42.484Z,5,60,331.0,692.5,512.0,642.7600447518986,452.84206572442065,1082.0,True
shreyandh,2026-06-24T10:59:42.484Z,6,60,331.0,680.0,491.0,640.1801617989647,451.6105181318904,1236.0,True
shreyandh,2026-06-24T10:59:42.484Z,7,60,331.0,706.0,173.5,656.7641436693174,142.1359310500816,726.0,True
shreyandh,2026-06-24T10:59:42.484Z,8,60,331.0,688.5,564.5,645.670280273641,519.4715138536233,930.0,True
shreyandh,2026-06-24T10:59:42.484Z,9,60,331.0,701.5,466.0,654.8727916760175,417.58602484357954,1221.0,True
shreyandh,2026-06-24T10:59:42.484Z,10,60,331.0,701.5,97.0,651.0728967221411,65.78556870112796,776.0,True
akshit,2026-06-24T11:05:19.196Z,1,60,459.5,66.29296875,462.5078125,649.415322695125,192.8675172560954,117.0,False
akshit,2026-06-24T11:05:19.196Z,2,60,459.5,696.3515625,328.82421875,656.8170994346573,283.6003937404822,1133.7000000029802,True
akshit,2026-06-24T11:05:19.196Z,3,60,459.5,700.58203125,439.7109375,656.0666340721157,389.2351795539958,799.5,True
